Volume,dice_PED
TRAIN008,0.59375 (0.49306210178888477)
TRAIN017,0.13793103448275862 (0.3478392380269825)
TRAIN019,0.46875 (0.5009832851188788)
TRAIN021,0.328125 (0.47137552109731334)
TRAIN023,0.4339622641509434 (0.4979743333322331)
TRAIN025,0.15 (0.3663475485325232)
TRAIN031,0.3939393939393939 (0.4961976634488732)
TRAIN035,0.15384615384615385 (0.3755338080994054)
TRAIN037,0.02040816326530612 (0.14285714285714282)
TRAIN053,0.38235294117647056 (0.49327021805638177)
TRAIN057,0.35294117647058826 (0.48507125007266594)
TRAIN060,0.234375 (0.4252720296617194)
TRAIN065,0.8828125 (0.32290740609869234)
TRAIN070,0.4921875 (0.5019033653891717)
