Volume,dice_SRF
TRAIN001,0.7575589150190354 (0.16694021185610777)
TRAIN010,nan (nan)
TRAIN011,0.7763038117711137 (0.14200293511421547)
TRAIN013,0.6924092437212284 (0.17001019046053706)
TRAIN015,0.850033032298088 (0.16697066793044796)
TRAIN028,0.7146306357213429 (0.2171381090145957)
TRAIN029,0.9018188118934631 (0.021553029559154755)
TRAIN032,0.8847043759682599 (0.0923512259022937)
TRAIN041,nan (nan)
TRAIN046,0.5196699624260267 (0.4014174705933295)
TRAIN049,0.4191972934886029 (0.3653224647371828)
TRAIN050,nan (nan)
TRAIN051,0.8395604274489663 (0.09896958151928696)
TRAIN056,nan (nan)
