Volume,dice_IRF,dice_SRF,dice_PED
TRAIN002,0.7427094406011747 (0.3238672236396385),0.9689108827151358 (0.11755620550074986),0.9921875 (0.08838834764831843)
TRAIN012,0.921875 (0.269422684043429),0.8332401976222172 (0.22630351652608463),0.8690285326447338 (0.24208248561016363)
TRAIN014,0.984375 (0.12450690143095285),0.8992966841906309 (0.15652814127222642),0.8908344856463373 (0.19230368890928604)
TRAIN016,0.7602889582049102 (0.19248884915246886),0.96875 (0.1746763035549529),0.984375 (0.12450690143095286)
TRAIN027,0.6473992177266248 (0.3678230002351257),0.7007284535437214 (0.42823552674618853),0.9387755102040817 (0.24222607082590245)
TRAIN033,0.6207477765119805 (0.40323462365821705),0.666519535439355 (0.3621867541677772),0.6117355568068368 (0.42640263670412587)
TRAIN039,0.5014873101395003 (0.3711242309434461),0.9591836734693877 (0.199914947901746),0.9387755102040817 (0.24222607082590245)
TRAIN042,0.7349096865070109 (0.4341292547000695),0.8579754209031865 (0.23803338804047733),0.8092797526291439 (0.24966575588982312)
TRAIN048,0.7219966826390247 (0.28964120396181814),0.9183673469387755 (0.2766416675862441),0.9591836734693877 (0.19991494790174602)
TRAIN062,0.8805914781987667 (0.16017679435911608),1.0 (0.0),1.0 (0.0)
TRAIN063,0.84375 (0.3645188825671882),0.8359553779664566 (0.2455783270909348),0.49041659699287266 (0.4394895871370099)
TRAIN064,0.745779394870624 (0.4120744585286178),0.921875 (0.2694226840434289),0.4921875 (0.5019033653891716)
TRAIN067,0.7483962704245641 (0.3751786942040966),0.9765625 (0.1518828677363284),0.9921875 (0.08838834764831843)
TRAIN068,0.9027403267100453 (0.13193677188675407),0.9470420812576776 (0.1998766293546488),0.921875 (0.26942268404342895)
