vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.60 (0.06),0.75 (0.07),0.55 (0.05)
Spectralis,0.63 (0.06),0.84 (0.02),0.61 (0.15)
Topcon,0.57 (0.05),0.62 (0.04),0.51 (0.08)
