Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.41954499992885086 (0.3159397984150015),0.8251365573466325 (0.10577511391468813),0.6606665848083394 (0.26462066735856005)
TRAIN007,0.5935917979478836 (0.19564308206022815),nan (nan),nan (nan)
TRAIN018,0.5526583890120188 (0.2187322020698672),nan (nan),nan (nan)
TRAIN022,0.6557147401509825 (0.1053337001665684),nan (nan),nan (nan)
TRAIN024,nan (nan),nan (nan),0.3914809434931597 (0.16712411737420804)
TRAIN026,0.8584627409776052 (0.10268941972002396),nan (nan),nan (nan)
TRAIN034,0.5807869463197647 (0.320627082878793),nan (nan),nan (nan)
TRAIN040,0.6815787553787231 (0.1543790025647176),0.7652662917971611 (0.15954747246571918),nan (nan)
TRAIN043,0.7387572659386529 (0.1411336551568938),0.7996665340662003 (0.16757692663049847),0.6579637804892488 (0.30859684557504946)
TRAIN044,0.7656842683042798 (0.08875838215372124),0.842767044239574 (0.19717823619788383),0.71425371699863 (0.11540584735816035)
TRAIN052,0.4023590102525694 (0.24176964252662791),0.35886992858006406 (0.17911071168822637),nan (nan)
TRAIN054,0.6389846715487932 (0.12770178850083555),0.7520266345569065 (0.08169033902527682),nan (nan)
TRAIN059,0.5901278559263651 (0.163664381807452),0.7017516056696574 (0.2188894090002363),nan (nan)
TRAIN069,nan (nan),0.3270142078399658 (0.4624679278159738),0.5048573003074185 (0.17872522262975624)
