Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.8954802259887006 (0.30636666529212214),0.9602272727272727 (0.19570299767674298),0.9852216748768473 (0.12081339604879167)
Spectralis,0.36220472440944884 (0.4825410803892421),0.8333333333333334 (0.37383358970942016),0.9 (0.30075282427025135)
Topcon,0.8465116279069768 (0.360877483558527),0.9454545454545454 (0.22732056912722465),0.7495361781076066 (0.43368264835933684)
