Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.48106904231625836 (0.500198815070086),0.7995283018867925 (0.40082629094055977),0.7692307692307693 (0.42177590048384356)
Spectralis,0.9214285714285714 (0.27003482703328124),0.75 (0.43416894614515167),0.895 (0.3073226906378775)
Topcon,0.9104477611940298 (0.28596633546176004),0.8992628992628993 (0.30135073125190237),0.8906666666666667 (0.31247388482679994)
