Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.5442366598075942 (0.2920416035327167),0.8149700019539905 (0.13267716118982636),0.6721001055131677 (0.2673851985986619)
TRAIN007,0.58741135597229 (0.19921423536426094),nan (nan),nan (nan)
TRAIN018,0.8509896596272787 (0.12326005394707754),nan (nan),nan (nan)
TRAIN022,0.682178350299904 (0.10742064559335804),nan (nan),nan (nan)
TRAIN024,nan (nan),nan (nan),0.32778137768137044 (0.1515154873915051)
TRAIN026,0.8675494194030762 (0.10437376962595561),nan (nan),nan (nan)
TRAIN034,0.5903421106838411 (0.31498211660012865),nan (nan),nan (nan)
TRAIN040,0.698532615546827 (0.15118818346445634),0.7748626470565796 (0.10357436372728951),nan (nan)
TRAIN043,0.7114809271362093 (0.22999804059372314),0.8085429871082306 (0.18369464797072513),0.5878116474576438 (0.36770438073579725)
TRAIN044,0.7637257671781948 (0.11101089672833192),0.8131522165404426 (0.2271935449944193),0.7013062967194451 (0.17166051875679328)
TRAIN052,0.4193617810628244 (0.26136899990078977),0.26096248855957616 (0.11102589312228384),nan (nan)
TRAIN054,0.6166691403639945 (0.13822924530897326),0.6520170654569354 (0.0759408424026349),nan (nan)
TRAIN059,0.5894455450115266 (0.19183901683950194),0.6482954929272334 (0.19365491811069424),nan (nan)
TRAIN069,nan (nan),0.21108178794384003 (0.2985147272801402),0.5208105841865305 (0.20657016013722274)
