Volume,dice_PED
TRAIN003,0.9375 (0.24301258837812542)
TRAIN005,0.2028985507246377 (0.4051038408971623)
TRAIN006,0.3984375 (0.4915000941197112)
TRAIN009,0.30701754385964913 (0.4632931941657309)
TRAIN020,0.0 (0.0)
TRAIN030,0.4117647058823529 (0.5072996561958923)
TRAIN036,0.5918367346938775 (0.49658699082414787)
TRAIN038,0.25 (0.4472135954999579)
TRAIN045,0.1388888888888889 (0.3507361872061009)
TRAIN047,0.2653061224489796 (0.4460712855998855)
TRAIN055,0.8333333333333334 (0.37553380809940534)
TRAIN058,0.8297872340425532 (0.3778347443378207)
TRAIN061,0.6376811594202898 (0.4841917003915368)
TRAIN066,0.9375 (0.24301258837812542)
