Volume,dice_SRF
TRAIN006,0.3125 (0.4653336792785003)
TRAIN008,0.6403508771929824 (0.4820162847918456)
TRAIN010,0.8984375 (0.3032590366453844)
TRAIN013,0.0 (0.0)
TRAIN023,0.28125 (0.4513758494650716)
TRAIN029,0.7674418604651163 (0.4274625743754584)
TRAIN030,0.8620689655172413 (0.3509312031717982)
TRAIN034,0.9183673469387755 (0.2766416675862441)
TRAIN044,0.0 (0.0)
TRAIN047,0.8163265306122449 (0.3912303982179758)
TRAIN050,0.953125 (0.21220162006698987)
TRAIN055,0.9140625 (0.28137300459805203)
TRAIN057,0.5510204081632653 (0.5025445456953674)
TRAIN066,1.0 (0.0)
