volume,Dice_Background,Dice_IRF,Dice_SRF,Dice_PED
Cirrus_TRAIN001,0.9943192300618706,0.7006477800904396,0.467283676191246,0.0
Cirrus_TRAIN010,0.9997217187291386,0.8452430078911244,0.0,0.0
Cirrus_TRAIN011,0.9963919067595801,0.48347397636479084,0.637661248775166,0.07612687813021703
Cirrus_TRAIN013,0.9943585734027102,0.2192036599176775,0.6580371501562164,0.3455621563494323
Cirrus_TRAIN015,0.9888505796504988,0.0,0.5890150631974969,0.4721369172557013
Spectralis_TRAIN028,0.9989322470382077,0.0,0.7046697995414197,0.3912201920099102
Spectralis_TRAIN029,0.99900974134786,0.7109543068582738,0.8492693929587134,0.0
Spectralis_TRAIN032,0.9831524158739567,0.6446727390373799,0.8817559653502133,0.0
Spectralis_TRAIN041,0.9996338468601976,0.08295302013422819,0.0,0.0
Spectralis_TRAIN046,0.993926374968392,0.41656033252056146,0.03662379695085598,0.7363763819584551
Topcon_TRAIN049,0.9995474137594741,0.0,0.6739613850552398,0.6136609952600447
Topcon_TRAIN050,0.9987799544307729,0.5523540849361094,0.0,0.7440079058264507
Topcon_TRAIN051,0.9975962010711746,0.6480366195745082,0.7997927461139896,0.0
Topcon_TRAIN056,0.9993173230781092,0.8194264318853949,0.0,0.0
