Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.7088985003065318 (0.18808613490406517),0.6526874676346779 (0.1956552356560096),nan (nan)
TRAIN017,0.6562279171269872 (0.19714368082975442),nan (nan),0.7454715183803013 (0.06927069765060939)
TRAIN019,0.6491761675311459 (0.21063494830352505),nan (nan),nan (nan)
TRAIN021,0.6494667990052182 (0.1137543287934438),0.5294215184636414 (0.27924369135523314),nan (nan)
TRAIN023,nan (nan),nan (nan),0.36159963228485803 (0.1853689080750592)
TRAIN025,0.5962381511926651 (0.18849188466426797),nan (nan),0.6000783263609327 (0.15466570557854956)
TRAIN031,nan (nan),nan (nan),0.5936630330979824 (0.25986045204985936)
TRAIN035,nan (nan),0.8709688671799594 (0.12362679222081716),0.6581378794378705 (0.10705762076892326)
TRAIN037,0.5484371437710158 (0.16306953481365327),0.7365059173769422 (0.2213040973498016),nan (nan)
TRAIN053,0.3596335203594905 (0.18443655093196157),0.43657007515914253 (0.16972470634631923),0.7279734227885591 (0.13073681486044988)
TRAIN057,nan (nan),0.6247518740688698 (0.18966259518387277),0.6142763137183291 (0.1576519998540492)
TRAIN060,0.48179333853094203 (0.2146297487995981),nan (nan),nan (nan)
TRAIN065,0.5021158563904464 (0.18585859151490186),nan (nan),nan (nan)
TRAIN070,0.3347859285001097 (0.1963819261998055),nan (nan),nan (nan)
