Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.12542703585786513 (0.22676775745327052),0.24191776847437724 (0.35425985734778764),0.11536564083580743 (0.2204191157064488)
Spectralis,0.27494608115176766 (0.326648632102685),0.4269649066487137 (0.4585266595573865),0.3596572660517936 (0.4444523706220379)
Topcon,0.31567106026081354 (0.4336757697778462),0.6702950887140885 (0.45547502268046225),0.24047394204639463 (0.39056566566857787)
