Volume,dice_PED
TRAIN004,0.6385869587701495 (0.2571551789910024)
TRAIN007,nan (nan)
TRAIN018,nan (nan)
TRAIN022,nan (nan)
TRAIN024,0.6472637704734144 (0.15020297344432545)
TRAIN026,nan (nan)
TRAIN034,nan (nan)
TRAIN040,nan (nan)
TRAIN043,0.8490884991792532 (0.09501267359086736)
TRAIN044,0.7219732690740515 (0.10679835262484644)
TRAIN052,nan (nan)
TRAIN054,nan (nan)
TRAIN059,nan (nan)
TRAIN069,0.513886676826438 (0.17795387352527622)
