Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.34857192740309983 (0.41647463803680557),0.7740911184577272 (0.35235055454025566),0.6002699844582822 (0.4332397386654842)
Spectralis,0.5443715247572685 (0.4002283968604022),0.7989299677768532 (0.36501720058881937),0.7585209345330998 (0.39097772921014656)
Topcon,0.6737255477180172 (0.4152758763815582),0.894393155151712 (0.2827412212425065),0.7724975795884218 (0.3771305409611085)
