Volume,dice_IRF,dice_SRF,dice_PED
D2S1,0.631578947368421 (0.49559462778335206),0.8666666666666667 (0.35186577527449836),0.5789473684210527 (0.5072572735017881)
D3S1,0.42105263157894735 (0.5072572735017881),0.8461538461538461 (0.3755338080994054),0.29411764705882354 (0.4696682183138621)
D4S1,0.8 (0.4140393356054125),0.7368421052631579 (0.452413928358864),0.8421052631578947 (0.37463432463267754)
D4S2,0.26666666666666666 (0.45773770821706344),0.6153846153846154 (0.5063696835418333),0.5789473684210527 (0.5072572735017881)
D5S2,0.42105263157894735 (0.5072572735017881),0.5 (0.5477225575051661),0.0 (0.0)
D5S3,0.5263157894736842 (0.512989176042577),0.8 (0.4472135954999579),0.05263157894736842 (0.22941573387056177)
