Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.13790561717905803 (0.27258035412643755),0.0893619497539703 (0.1868576687258789),0.07221309865476541 (0.15731577883609182)
Spectralis,0.2553363329597882 (0.3128986059517363),0.3309156417390522 (0.42303996320283677),0.1625890921421197 (0.31320886318642055)
Topcon,0.25900540586111936 (0.4053984932697679),0.44570642111440456 (0.4801217577793645),0.05552081287896726 (0.14583791252152178)
