Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.46318099715608696 (0.4393788897716473),0.5861119721390423 (0.43553771732328095),0.6172035994008184 (0.4474668914031521)
Spectralis,0.3653271700426632 (0.40582017706554235),0.6239599662167685 (0.45489755436033186),0.4931870882912558 (0.43596062420285664)
Topcon,0.6887526915234048 (0.42191911560865547),0.7909546102309832 (0.3708887665286683),0.7983742184442235 (0.31971023338975213)
