Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6770342022064142 (0.39109051460877053),0.8421511012595146 (0.32652126758669664),0.6990434149629436 (0.4251877344097513)
Spectralis,0.6805088178843868 (0.37411527757213925),0.7986722426755087 (0.3537678250602938),0.7318784987211836 (0.39986066460090686)
Topcon,0.7905106211037491 (0.33156280859586357),0.8457495910261059 (0.3409800524036123),0.8538180147152161 (0.3163569023976843)
