Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.08337151661007738 (0.19677473279790053),0.11892073049748433 (0.24322593883699495),0.050472050250391476 (0.11712700691857904)
Spectralis,0.242557989760321 (0.3074942965376462),0.36482584716714156 (0.44145168597741863),0.1850354788862929 (0.3448590647042997)
Topcon,0.3287266302743644 (0.4404535407303935),0.03674334068741051 (0.13881668336652353),0.06756442088434207 (0.18298198932613446)
