Volume,dice_PED
TRAIN008,0.515625 (0.5017194843185602)
TRAIN017,0.5172413793103449 (0.5040669445356467)
TRAIN019,0.8515625 (0.3569301250570317)
TRAIN021,0.6171875 (0.48798305362985844)
TRAIN023,0.6037735849056604 (0.4914360934671609)
TRAIN025,0.55 (0.5104177855340404)
TRAIN031,0.696969696969697 (0.4666937221594375)
TRAIN035,0.07692307692307693 (0.2773500981126146)
TRAIN037,0.32653061224489793 (0.47380354147934295)
TRAIN053,0.20588235294117646 (0.4104256301219049)
TRAIN057,0.4117647058823529 (0.4995541684356422)
TRAIN060,0.453125 (0.49975387643106284)
TRAIN065,0.9609375 (0.1945049743306584)
TRAIN070,0.7265625 (0.447474870626854)
