Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.20577995500275822 (0.1834210840687528),0.5176780889350764 (0.266463317131299),0.23498189581374898 (0.25055365483848174)
Spectralis,0.5881436260352875 (0.2043983217350402),0.7568037860477582 (0.19677740761304252),0.6100840711931013 (0.14315737383104807)
Topcon,0.21670370345440257 (0.2354940337570659),0.3924315683040264 (0.23105791171247986),0.44125964547522734 (0.17812753013933746)
