Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.26607615269196017 (0.19201825746871798),0.16172462329268456 (0.10673138721060119),nan (nan)
TRAIN010,0.22847823431605802 (0.18724682775231563),nan (nan),nan (nan)
TRAIN011,0.32595965945545363 (0.17333637629345386),0.3429230403598035 (0.25748522711827165),0.08523228133774617 (0.08712704929183376)
TRAIN013,0.07200828853658298 (0.0969226866824574),0.12772045412745614 (0.18129944493695693),0.06476530180291527 (0.09896855902361779)
TRAIN015,nan (nan),0.19228528128005565 (0.11928763883311838),0.5064821339079312 (0.09125045454705676)
TRAIN028,nan (nan),0.7884494151387896 (0.08808215947531162),0.4266312528740276 (0.2872077485785517)
TRAIN029,0.7014773032244515 (0.1177966249459066),0.8430217107137045 (0.06677438031724418),nan (nan)
TRAIN032,0.6285096768821988 (0.13911905481345996),0.7560950966880602 (0.17175948510564545),nan (nan)
TRAIN041,0.44037461280822754 (0.23475456700973074),nan (nan),nan (nan)
TRAIN046,0.44303951743576264 (0.17310884777946972),0.5172252357006073 (0.177562947505136),0.6086662655526941 (0.19833052134736573)
TRAIN049,nan (nan),0.49984405327000114 (0.2750473374023559),0.3264673451154396 (0.14807575067202122)
TRAIN050,0.09092574402991985 (0.1154621914830556),nan (nan),0.33642349984835496 (0.1498561000236027)
TRAIN051,0.1441504189136381 (0.10942024971857972),0.49111475981771946 (0.2576530795849901),nan (nan)
TRAIN056,0.35454777986915026 (0.23069622451775257),nan (nan),nan (nan)
