vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.75 (0.09),0.76 (0.11),0.62 (0.08)
Spectralis,0.69 (0.02),0.82 (0.08),0.82 (0.03)
Topcon,0.83 (0.08),0.88 (0.02),0.83 (0.04)
