Volume,dice_SRF
TRAIN008,0.8070175438596491 (0.3963817098031649)
TRAIN017,0.9375 (0.24301258837812537)
TRAIN019,0.9609375 (0.19450497433065847)
TRAIN021,0.8425925925925926 (0.365882291399257)
TRAIN023,0.34375 (0.4768251301309625)
TRAIN025,0.9387755102040817 (0.24222607082590245)
TRAIN031,0.8979591836734694 (0.3058388709205983)
TRAIN035,1.0 (0.0)
TRAIN037,0.7096774193548387 (0.4614143753790638)
TRAIN053,0.5686274509803921 (0.5001960399996911)
TRAIN057,0.5714285714285714 (0.4999999999999999)
TRAIN060,1.0 (0.0)
TRAIN065,1.0 (0.0)
TRAIN070,0.9375 (0.24301258837812542)
