Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.32128961009466367 (0.4186771570834817),0.25875576966136576 (0.3983893422056016),0.0666684238894959 (0.19971752649264163)
Spectralis,0.3519373902860953 (0.3654368862269475),0.5144110012723475 (0.4518841309573463),0.46667124805401783 (0.45011757570620714)
Topcon,0.41013404217574134 (0.45859229385297956),0.6103905625532207 (0.4741060473238629),0.152181324949197 (0.3218208709072797)
