Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.37829515186402235 (0.2510234469841549),0.6055136621651942 (0.21133218847601376),0.46985627316798156 (0.2815834690749258)
Spectralis,0.5270112087128356 (0.254712126511644),0.8512312327822049 (0.12960376738068827),0.6251845553708382 (0.265957937000854)
Topcon,0.5294119144740858 (0.26043370398433807),0.45808914354810976 (0.25894831116865047),0.5249710536171351 (0.22188146241907433)
