Volume,dice_IRF
TRAIN004,0.632117171480786 (0.41894299199127033)
TRAIN008,0.6163951163180172 (0.39214893095205)
TRAIN010,0.8158979949075729 (0.34682038661606734)
TRAIN011,0.6404881093185395 (0.4261222987005309)
TRAIN017,0.5654558699097834 (0.429986760261104)
TRAIN025,0.5275317637287841 (0.3762329356910733)
TRAIN030,0.4599006650399189 (0.4268092898286837)
TRAIN045,0.44304632228247975 (0.42082051069046317)
TRAIN046,0.5753442864028775 (0.31759107132317344)
TRAIN047,0.6988076780523572 (0.3328476531757414)
TRAIN052,0.5230897783658293 (0.4609948241971965)
TRAIN058,0.6328125 (0.4839322811674228)
TRAIN059,0.6492616242612712 (0.31514323415752266)
TRAIN061,0.7870489076594822 (0.3036631673971935)
