Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.6490303066352175 (0.21335363357766207),0.3514106630214623 (0.19086192025218796),nan (nan)
TRAIN017,0.5211049136908158 (0.1862618955128107),nan (nan),0.403503400513104 (0.13156251843090289)
TRAIN019,0.6764352031879954 (0.1450033268842521),nan (nan),nan (nan)
TRAIN021,0.609744861074116 (0.13703299074151326),0.09835799597203732 (0.2109182264757499),nan (nan)
TRAIN023,nan (nan),nan (nan),0.2545245421457697 (0.2757988861396852)
TRAIN025,0.6408616582552592 (0.19555138643479494),nan (nan),0.6026672361225918 (0.11832213199445231)
TRAIN031,nan (nan),nan (nan),0.5381256192922592 (0.14619675297743392)
TRAIN035,nan (nan),0.8504976061887519 (0.10297396855039448),0.3360252164355997 (0.15599801879615005)
TRAIN037,0.5092349489580612 (0.2028025643915831),0.773661368423038 (0.12528504486727915),nan (nan)
TRAIN053,0.2726057225025873 (0.1749587839701735),0.6040519087563281 (0.23518831440085786),0.61710990787028 (0.11112200896903321)
TRAIN057,nan (nan),0.6692264777006982 (0.17435941654587306),0.5036804536555676 (0.11119252026273067)
TRAIN060,0.15789911987897204 (0.13388028428486098),nan (nan),nan (nan)
TRAIN065,0.5663854512386024 (0.19714281645446682),nan (nan),nan (nan)
TRAIN070,0.49700104281434726 (0.23486774736322721),nan (nan),nan (nan)
