Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6272727272727273 (0.48408081008193654),0.2590759075907591 (0.43848929707576817),0.6788321167883211 (0.46735173729469176)
Spectralis,0.08547008547008547 (0.2807824526841687),0.14074074074074075 (0.3490490912521114),0.41739130434782606 (0.49528670937662544)
Topcon,0.8702460850111857 (0.33640900038431093),0.6859504132231405 (0.4646164579764727),0.497787610619469 (0.5005491166762405)
