Slice,PSNR,SSIM,MSE
Spectralis_TEST026_001.tiff,24.286,0.397,0.003727642586454749
Spectralis_TEST026_002.tiff,24.137,0.4,0.003857261501252651
Spectralis_TEST026_003.tiff,23.672,0.398,0.004293486941605806
Spectralis_TEST026_004.tiff,24.369,0.423,0.0036566341295838356
Spectralis_TEST026_005.tiff,24.623,0.416,0.003449138952419162
Spectralis_TEST026_006.tiff,23.992,0.403,0.00398813234642148
Spectralis_TEST026_007.tiff,23.4,0.395,0.004571085795760155
Spectralis_TEST026_008.tiff,23.587,0.393,0.00437790434807539
Spectralis_TEST026_009.tiff,24.073,0.399,0.003914648201316595
Spectralis_TEST026_010.tiff,23.268,0.381,0.004711607005447149
Spectralis_TEST026_011.tiff,23.288,0.369,0.004690829664468765
Spectralis_TEST026_012.tiff,22.201,0.346,0.006024705711752176
Spectralis_TEST026_013.tiff,23.307,0.4,0.004670314025133848
Spectralis_TEST026_014.tiff,24.222,0.443,0.003783005755394697
Spectralis_TEST026_015.tiff,24.142,0.443,0.0038526123389601707
Spectralis_TEST026_016.tiff,24.1,0.406,0.0038904580287635326
Spectralis_TEST026_017.tiff,24.039,0.402,0.003945648670196533
Spectralis_TEST026_018.tiff,24.265,0.423,0.0037451821845024824
Spectralis_TEST026_019.tiff,24.748,0.438,0.0033515358809381723
Spectralis_TEST026_020.tiff,24.438,0.429,0.0035995477810502052
Spectralis_TEST026_021.tiff,23.176,0.407,0.004812585189938545
Spectralis_TEST026_022.tiff,24.133,0.408,0.0038613351061940193
Spectralis_TEST026_023.tiff,23.611,0.405,0.004354232456535101
Spectralis_TEST026_024.tiff,22.908,0.394,0.005118712317198515
Spectralis_TEST026_025.tiff,23.999,0.41,0.003982148598879576
Spectralis_TEST026_026.tiff,24.125,0.429,0.003867712104693055
Spectralis_TEST026_027.tiff,23.636,0.436,0.00432936567813158
Spectralis_TEST026_028.tiff,24.487,0.473,0.003558726515620947
Spectralis_TEST026_029.tiff,23.718,0.445,0.004247745964676142
Spectralis_TEST026_030.tiff,24.567,0.448,0.003493610303848982
Spectralis_TEST026_031.tiff,24.0,0.449,0.003981241025030613
Spectralis_TEST026_032.tiff,23.889,0.446,0.00408386392518878
Spectralis_TEST026_033.tiff,23.911,0.427,0.004063273314386606
Spectralis_TEST026_034.tiff,23.981,0.427,0.003998907748609781
Spectralis_TEST026_035.tiff,23.433,0.41,0.004536146763712168
Spectralis_TEST026_036.tiff,23.545,0.389,0.004420859273523092
Spectralis_TEST026_037.tiff,23.816,0.404,0.004153701942414045
Spectralis_TEST026_038.tiff,23.26,0.397,0.004720624070614576
Spectralis_TEST026_039.tiff,23.53,0.4,0.004436090122908354
Spectralis_TEST026_040.tiff,23.812,0.407,0.004156779032200575
Spectralis_TEST026_041.tiff,23.476,0.375,0.004491107072681189
Spectralis_TEST026_042.tiff,23.296,0.36,0.00468154763802886
Spectralis_TEST026_043.tiff,23.572,0.388,0.004393038339912891
Spectralis_TEST026_044.tiff,23.396,0.391,0.004575068596750498
Spectralis_TEST026_045.tiff,23.12,0.378,0.004875693470239639
Spectralis_TEST026_046.tiff,22.923,0.368,0.00510112289339304
Spectralis_TEST026_047.tiff,21.598,0.348,0.006921184249222279
Spectralis_TEST028_001.tiff,25.212,0.535,0.0030118131544440985
Spectralis_TEST028_002.tiff,24.913,0.541,0.0032260031439363956
Spectralis_TEST028_003.tiff,24.575,0.532,0.0034870344679802656
Spectralis_TEST028_004.tiff,24.868,0.516,0.0032599885016679764
Spectralis_TEST028_005.tiff,24.049,0.465,0.003936615772545338
Spectralis_TEST028_006.tiff,22.948,0.468,0.005072122439742088
Spectralis_TEST028_007.tiff,22.954,0.498,0.005065724719315767
Spectralis_TEST028_008.tiff,23.682,0.492,0.004283314570784569
Spectralis_TEST028_009.tiff,24.298,0.498,0.003716818057000637
Spectralis_TEST028_010.tiff,24.679,0.508,0.003405163763090968
Spectralis_TEST028_011.tiff,24.597,0.492,0.0034699048846960068
Spectralis_TEST028_012.tiff,24.059,0.48,0.00392733421176672
Spectralis_TEST028_013.tiff,24.624,0.481,0.00344814988784492
Spectralis_TEST028_014.tiff,24.47,0.478,0.0035730917006731033
Spectralis_TEST028_015.tiff,24.974,0.477,0.0031809781212359667
Spectralis_TEST028_016.tiff,25.166,0.493,0.0030439032707363367
Spectralis_TEST028_017.tiff,24.933,0.485,0.003211216302588582
Spectralis_TEST028_018.tiff,24.032,0.466,0.003951521124690771
Spectralis_TEST028_019.tiff,24.924,0.479,0.0032179001718759537
Spectralis_TEST028_020.tiff,24.925,0.509,0.0032173721119761467
Spectralis_TEST028_021.tiff,25.22,0.516,0.0030062240548431873
Spectralis_TEST028_022.tiff,24.692,0.508,0.0033947748597711325
Spectralis_TEST028_023.tiff,25.26,0.521,0.002978421049192548
Spectralis_TEST028_024.tiff,24.875,0.542,0.003254786366596818
Spectralis_TEST028_025.tiff,24.904,0.522,0.003233230672776699
Spectralis_TEST028_026.tiff,24.679,0.543,0.003404480405151844
Spectralis_TEST028_027.tiff,24.461,0.602,0.0035800691694021225
Spectralis_TEST028_028.tiff,25.769,0.663,0.002648903988301754
Spectralis_TEST028_029.tiff,26.718,0.637,0.0021291289012879133
Spectralis_TEST028_030.tiff,24.512,0.584,0.0035384749062359333
Spectralis_TEST028_031.tiff,25.143,0.586,0.003059975802898407
Spectralis_TEST028_032.tiff,25.394,0.58,0.0028877872973680496
Spectralis_TEST028_033.tiff,25.749,0.58,0.002661204431205988
Spectralis_TEST028_034.tiff,25.845,0.568,0.002603137632831931
Spectralis_TEST028_035.tiff,25.422,0.546,0.0028693219646811485
Spectralis_TEST028_036.tiff,26.036,0.541,0.0024913009256124496
Spectralis_TEST028_037.tiff,25.241,0.521,0.0029915026389062405
Spectralis_TEST028_038.tiff,24.472,0.502,0.0035710076335817575
Spectralis_TEST028_039.tiff,24.395,0.479,0.003634972497820854
Spectralis_TEST028_040.tiff,24.584,0.462,0.0034802169539034367
Spectralis_TEST028_041.tiff,24.154,0.485,0.0038421163335442543
Spectralis_TEST028_042.tiff,25.222,0.526,0.0030046047177165747
Spectralis_TEST028_043.tiff,24.552,0.478,0.003505573607981205
Spectralis_TEST028_044.tiff,24.829,0.438,0.0032896017655730247
Spectralis_TEST028_045.tiff,25.992,0.535,0.0025166079867631197
Spectralis_TEST028_046.tiff,26.022,0.568,0.0024989948142319918
Spectralis_TEST028_047.tiff,24.804,0.538,0.0033081427682191133
