slice,dice_Background,dice_PED,voxels_Background,voxels_PED,union_Background,union_PED,intersection_Background,intersection_PED,binary_dice
Cirrus_TRAIN004_046.tiff,0.9946022629737854,0.8120194673538208,247027,6925,493727,14177,245531,5756,0.8120194673538208
Cirrus_TRAIN004_047.tiff,0.9941179156303406,0.7849430441856384,247053,6899,494382,13522,245737,5307,0.7849430441856384
Cirrus_TRAIN004_048.tiff,0.9956789016723633,0.8244262337684631,247565,6387,495704,12200,246781,5029,0.8244262337684631
Cirrus_TRAIN004_049.tiff,0.9956234693527222,0.8203344941139221,248045,5907,495826,12078,246828,4954,0.8203344941139221
Cirrus_TRAIN004_050.tiff,0.994820237159729,0.7734718918800354,248380,5572,496550,11354,246989,4391,0.7734718918800354
Cirrus_TRAIN004_051.tiff,0.9959449768066406,0.8207547068595886,248280,5672,496668,11236,247327,4611,0.8207547068595886
Cirrus_TRAIN004_052.tiff,0.9938907027244568,0.7186139225959778,248138,5814,497111,10793,247037,3878,0.7186139225959778
Cirrus_TRAIN004_053.tiff,0.9933678507804871,0.7107089757919312,248133,5819,496521,11383,246614,4045,0.7107089757919312
Cirrus_TRAIN004_054.tiff,0.9929236173629761,0.668550431728363,248423,5529,497287,10617,246884,3549,0.668550431728363
Cirrus_TRAIN004_055.tiff,0.996040940284729,0.8263250589370728,248294,5658,496584,11320,247309,4677,0.8263250589370728
Cirrus_TRAIN004_056.tiff,0.993887186050415,0.7216929197311401,248188,5764,496988,10916,246975,3939,0.7216929197311401
Cirrus_TRAIN004_057.tiff,0.9950934648513794,0.7827404737472534,247920,6032,496687,11217,247125,4390,0.7827404737472534
Cirrus_TRAIN004_058.tiff,0.9953709840774536,0.7577444314956665,248380,5572,498381,9523,248037,3608,0.7577444314956665
Cirrus_TRAIN004_059.tiff,0.9929582476615906,0.5840331315994263,248415,5537,499449,8455,247966,2469,0.5840331315994263
Cirrus_TRAIN004_060.tiff,0.9934043288230896,0.6814829111099243,248234,5718,497600,10304,247159,3511,0.6814829111099243
Cirrus_TRAIN004_061.tiff,0.9949507117271423,0.7538446187973022,248751,5201,497695,10209,247591,3848,0.7538446187973022
Cirrus_TRAIN004_062.tiff,0.9953646659851074,0.7690151929855347,248405,5547,497912,9992,247802,3842,0.7690151929855347
Cirrus_TRAIN004_063.tiff,0.9945785999298096,0.7588430047035217,248197,5755,496737,11167,247022,4237,0.7588430047035217
Cirrus_TRAIN004_064.tiff,0.9951513409614563,0.7780438661575317,248265,5687,497046,10858,247318,4224,0.7780438661575317
Cirrus_TRAIN004_065.tiff,0.997050940990448,0.8497801423072815,249347,4605,498125,9779,248328,4155,0.8497801423072815
Cirrus_TRAIN004_066.tiff,0.9972368478775024,0.8613462448120117,249244,4708,497980,9924,248302,4274,0.8613462448120117
Cirrus_TRAIN004_067.tiff,0.9968612790107727,0.8426140546798706,249224,4728,497973,9931,248205,4184,0.8426140546798706
Cirrus_TRAIN004_068.tiff,0.9949925541877747,0.7615583539009094,249383,4569,497457,10447,247483,3978,0.7615583539009094
Cirrus_TRAIN004_069.tiff,0.994260311126709,0.7081164121627808,249352,4600,498109,9795,247625,3468,0.7081164121627808
Cirrus_TRAIN004_070.tiff,0.9969412684440613,0.8524335622787476,249081,4871,497590,10314,248034,4396,0.8524335622787476
Cirrus_TRAIN004_071.tiff,0.9954626560211182,0.769716739654541,249126,4826,498090,9814,247915,3777,0.769716739654541
Cirrus_TRAIN004_072.tiff,0.9967721104621887,0.849620521068573,249022,4930,497231,10673,247813,4534,0.849620521068573
Cirrus_TRAIN004_073.tiff,0.993836522102356,0.6703850626945496,249015,4937,498581,9323,247754,3125,0.6703850626945496
Cirrus_TRAIN004_074.tiff,0.9932131767272949,0.6038573980331421,248648,5304,499349,8555,247980,2583,0.6038573980331421
Cirrus_TRAIN004_075.tiff,0.9935161471366882,0.64570552110672,248711,5241,498776,9128,247771,2947,0.64570552110672
Cirrus_TRAIN004_076.tiff,0.995135486125946,0.752981960773468,248848,5104,498095,9809,247836,3693,0.752981960773468
Cirrus_TRAIN004_077.tiff,0.9956768155097961,0.7922742366790771,248923,5029,497549,10355,247699,4102,0.7922742366790771
Cirrus_TRAIN004_078.tiff,0.9960135221481323,0.7648517489433289,249224,4728,499437,8467,248723,3238,0.7648517489433289
Cirrus_TRAIN004_079.tiff,0.9960681200027466,0.7730373740196228,249545,4407,499255,8649,248646,3343,0.7730373740196228
Cirrus_TRAIN004_080.tiff,0.9965665936470032,0.7804067134857178,249857,4095,500085,7819,249184,3051,0.7804067134857178
Cirrus_TRAIN004_081.tiff,0.996491551399231,0.7425307631492615,249960,3992,501076,6828,249659,2535,0.7425307631492615
Cirrus_TRAIN004_082.tiff,0.9980851411819458,0.8536139130592346,250686,3266,501346,6558,250193,2799,0.8536139130592346
Cirrus_TRAIN004_083.tiff,0.9981212019920349,0.8269794583320618,251297,2655,502448,5456,250752,2256,0.8269794583320618
Cirrus_TRAIN004_084.tiff,0.9977609515190125,0.7258142828941345,251891,2061,503790,4114,251331,1493,0.7258142828941345
Cirrus_TRAIN004_085.tiff,0.9974178075790405,0.6047922372817993,252154,1798,504607,3297,251652,997,0.6047922372817993
Cirrus_TRAIN004_086.tiff,0.9975437521934509,0.5343339443206787,252389,1563,505239,2665,251999,712,0.5343339443206787
Cirrus_TRAIN004_087.tiff,0.9990713596343994,0.734762966632843,252939,1013,506132,1772,252831,651,0.734762966632843
Cirrus_TRAIN004_088.tiff,0.9990204572677612,0.6766623258590698,253105,847,506370,1534,252937,519,0.6766623258590698
Cirrus_TRAIN004_089.tiff,0.9985558986663818,0.2766798436641693,253095,857,506892,1012,253080,140,0.2766798436641693
Cirrus_TRAIN004_090.tiff,0.9992462396621704,0.6564748287200928,253371,581,506792,1112,253205,365,0.6564748287200928
Cirrus_TRAIN004_091.tiff,0.9995899796485901,0.6498316526412964,253596,356,507310,594,253551,193,0.6498316526412964
Cirrus_TRAIN004_092.tiff,0.9993419647216797,0.0,253693,259,507570,334,253618,0,0.0
Cirrus_TRAIN004_093.tiff,0.9994917511940002,0.0,253721,231,507646,258,253694,0,0.0
Cirrus_TRAIN004_094.tiff,0.9993280172348022,0.2124711275100708,253602,350,507471,433,253565,46,0.2124711275100708
Cirrus_TRAIN004_095.tiff,0.9992985725402832,0.0,253596,356,507548,356,253596,0,0.0
Cirrus_TRAIN004_096.tiff,0.9993439316749573,0.0,253619,333,507571,333,253619,0,0.0
Cirrus_TRAIN004_097.tiff,0.9992631077766418,0.0,253608,344,507530,374,253578,0,0.0
Cirrus_TRAIN004_098.tiff,0.9990224838256836,0.0,253533,419,507408,496,253456,0,0.0
Cirrus_TRAIN004_099.tiff,0.999448299407959,0.25925925374031067,253623,329,507526,378,253623,49,0.25925925374031067
Cirrus_TRAIN004_100.tiff,0.9996159076690674,0.0,253757,195,507709,195,253757,0,0.0
Cirrus_TRAIN004_101.tiff,0.9994405508041382,0.0,253711,241,507620,284,253668,0,0.0
Cirrus_TRAIN004_102.tiff,0.9995114803314209,0.0,253704,248,507656,248,253704,0,0.0
Cirrus_TRAIN004_103.tiff,0.9997774958610535,0.0,253839,113,507791,113,253839,0,0.0
Cirrus_TRAIN004_104.tiff,0.9994858503341675,0.0,253809,143,507643,261,253691,0,0.0
Cirrus_TRAIN004_105.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN004_106.tiff,0.9999744296073914,0.0,253952,0,507891,13,253939,0,0.0
Cirrus_TRAIN004_107.tiff,0.9999586343765259,0.0,253952,0,507883,21,253931,0,0.0
Cirrus_TRAIN004_108.tiff,0.999962568283081,0.0,253952,0,507885,19,253933,0,0.0
Cirrus_TRAIN004_109.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN004_110.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN004_111.tiff,0.9999645352363586,0.0,253952,0,507886,18,253934,0,0.0
Cirrus_TRAIN004_112.tiff,0.9999980330467224,0.0,253952,0,507903,1,253951,0,0.0
Cirrus_TRAIN004_113.tiff,0.9996789693832397,0.0,253952,0,507741,163,253789,0,0.0
Cirrus_TRAIN004_114.tiff,0.9998109340667725,0.0,253952,0,507808,96,253856,0,0.0
Cirrus_TRAIN004_115.tiff,0.9997676014900208,0.0,253952,0,507786,118,253834,0,0.0
Cirrus_TRAIN004_116.tiff,0.9992433786392212,0.0,253952,0,507520,384,253568,0,0.0
Cirrus_TRAIN004_117.tiff,0.9994819164276123,0.0,253952,0,507641,263,253689,0,0.0
Cirrus_TRAIN004_118.tiff,0.9999980330467224,0.0,253952,0,507903,1,253951,0,0.0
Cirrus_TRAIN004_119.tiff,0.9999133348464966,0.0,253952,0,507860,44,253908,0,0.0
Cirrus_TRAIN004_120.tiff,0.998807430267334,0.0,253952,0,507299,605,253347,0,0.0
Cirrus_TRAIN004_121.tiff,0.9988725185394287,0.0,253952,0,507332,572,253380,0,0.0
Cirrus_TRAIN004_122.tiff,0.9998798966407776,0.0,253952,0,507843,61,253891,0,0.0
Cirrus_TRAIN004_123.tiff,0.9996592402458191,0.0,253952,0,507731,173,253779,0,0.0
Cirrus_TRAIN004_124.tiff,0.9995410442352295,0.0,253952,0,507671,233,253719,0,0.0
Cirrus_TRAIN004_125.tiff,0.9993833899497986,0.0,253952,0,507591,313,253639,0,0.0
Cirrus_TRAIN004_126.tiff,0.9995134472846985,0.0,253952,0,507657,247,253705,0,0.0
Cirrus_TRAIN004_127.tiff,0.9990185499191284,0.0,253952,0,507406,498,253454,0,0.0
Cirrus_TRAIN007_000.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN007_001.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN007_002.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN007_003.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN007_004.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN007_005.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN007_006.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN007_007.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN007_008.tiff,0.9999980330467224,0.0,253952,0,507903,1,253951,0,0.0
Cirrus_TRAIN007_009.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN007_010.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN007_011.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN007_012.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN007_013.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN007_014.tiff,0.9999862313270569,0.0,253952,0,507897,7,253945,0,0.0
Cirrus_TRAIN007_015.tiff,0.9997715353965759,0.0,253952,0,507788,116,253836,0,0.0
