Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5548705393681302 (0.43848888694438787),0.7727150785503909 (0.3541081867179463),0.6342948810692178 (0.4304469138697304)
Spectralis,0.849262737011423 (0.21645995635484697),0.8574150736234626 (0.3071868599239376),0.8387002380526796 (0.3305530881946355)
Topcon,0.7834679043153301 (0.3560202346105937),0.8687284658496667 (0.3164153307289442),0.7646812814886549 (0.38554839048590844)
