Volume,dice_PED
TRAIN003,0.9375 (0.24301258837812542)
TRAIN005,0.38166405822266825 (0.37736731231119874)
TRAIN006,0.3984375 (0.4915000941197112)
TRAIN009,0.3027082865592092 (0.4419119993253253)
TRAIN020,0.21442494211078156 (0.2994584371854987)
TRAIN030,0.615192572377166 (0.3718700624777832)
TRAIN036,0.5918367346938775 (0.49658699082414787)
TRAIN038,0.5219929047993251 (0.35275765980348933)
TRAIN045,0.1885512854371752 (0.32216842267904433)
TRAIN047,0.2653061224489796 (0.4460712855998855)
TRAIN055,0.7883584683295339 (0.30331730441165167)
TRAIN058,0.7470888561510947 (0.3664926782300066)
TRAIN061,0.6016201028251089 (0.37007093291981297)
TRAIN066,0.9375 (0.24301258837812542)
