Volume,dice_SRF
TRAIN006,0.3125 (0.4653336792785003)
TRAIN008,0.6491697832243517 (0.4593957713160071)
TRAIN010,0.8984375 (0.3032590366453844)
TRAIN013,0.29261980182491243 (0.31306637660414227)
TRAIN023,0.28125 (0.4513758494650716)
TRAIN029,0.7842742119516645 (0.4025321890881499)
TRAIN030,0.8237487171985665 (0.2956941288242967)
TRAIN034,0.9183673469387755 (0.2766416675862441)
TRAIN044,0.7323155284488612 (0.31504706434479046)
TRAIN047,0.8163265306122449 (0.3912303982179758)
TRAIN050,0.953125 (0.21220162006698987)
TRAIN055,0.9140625 (0.28137300459805203)
TRAIN057,0.636088483443018 (0.3495267482432295)
TRAIN066,1.0 (0.0)
