Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5975052715279162 (0.4333886987669788),0.8237998409196734 (0.31376774569082055),0.7191757292130205 (0.39575592504507395)
Spectralis,0.8049374592851619 (0.2866223267036037),0.8727811207576673 (0.29603159719289734),0.8872676068422746 (0.2751681650395025)
Topcon,0.8483554451086093 (0.29497235633630126),0.9471155374443957 (0.19146078713461442),0.8631620396627113 (0.30275310867303756)
