Volume,dice_PED
TRAIN003,0.3828125 (0.48798305362985855)
TRAIN005,0.0 (0.0)
TRAIN006,0.0859375 (0.2813730045980521)
TRAIN009,0.11403508771929824 (0.319257211194281)
TRAIN020,0.0 (0.0)
TRAIN030,0.058823529411764705 (0.24253562503633297)
TRAIN036,0.3469387755102041 (0.48092880658867054)
TRAIN038,0.125 (0.3415650255319866)
TRAIN045,0.0 (0.0)
TRAIN047,0.20408163265306123 (0.4072055089639779)
TRAIN055,0.10606060606060606 (0.3102747109746398)
TRAIN058,0.13829787234042554 (0.34706337402097365)
TRAIN061,0.2753623188405797 (0.4499692136859278)
TRAIN066,0.453125 (0.49975387643106284)
