Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6966698720700142 (0.19792790944962962),0.8171321201931547 (0.1209272947177621),0.7749926644529022 (0.17296694862110998)
Spectralis,0.7040232506536303 (0.16494808688569976),0.8322817604792746 (0.15019642658623927),0.8128720596432686 (0.16435946267411428)
Topcon,0.6177365479875455 (0.2201582189347219),0.7336172686844338 (0.16952680180289645),0.6087340759496166 (0.19136173891860453)
