Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.08685968819599109 (0.28194347901297223),0.030660377358490566 (0.17259947687997956),0.0 (0.0)
Spectralis,0.03571428571428571 (0.1862432186284849),0.21808510638297873 (0.41404816841316755),0.06965174129353234 (0.2551947846439123)
Topcon,0.28955223880597014 (0.45423302744408683),0.43734643734643736 (0.49666953398710784),0.005333333333333333 (0.07293197572929837)
