Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.27616926503340755 (0.44760027591555596),0.2783018867924528 (0.4486922878421339),0.15598290598290598 (0.3632274075563442)
Spectralis,0.05 (0.21872751683019911),0.15425531914893617 (0.3621577915968895),0.3283582089552239 (0.4707884780289085)
Topcon,0.7134328358208956 (0.45283389850710576),0.06388206388206388 (0.24484370373522799),0.08 (0.2716556486507327)
