volume,Dice_Background,Dice_IRF,Dice_SRF,Dice_PED
Cirrus_TRAIN003,0.999481686845842,0.5976189736097728,0.0,0.0
Cirrus_TRAIN005,0.9962387828858018,0.0,0.5390460068684392,0.6448814304319513
Cirrus_TRAIN006,0.9978727240094605,0.7077761408817624,0.0,0.0
Cirrus_TRAIN009,0.9991893362120794,0.44318668067063444,0.0,0.17511670387659833
Cirrus_TRAIN020,0.9782301106957056,0.1972130270997036,0.49463108803813555,0.41539208331494637
Spectralis_TRAIN030,0.9955666997392902,0.5032922561491384,0.7759442405799696,0.7750050218644251
Spectralis_TRAIN036,0.9977647082669383,0.6850759781730981,0.0,0.0
Spectralis_TRAIN038,0.9942403103160838,0.0,0.8637937902943879,0.5862059752376576
Spectralis_TRAIN045,0.9952428551106887,0.5806381930240251,0.0,0.19723799034143863
Spectralis_TRAIN047,0.9987011326289517,0.5912252082081223,0.0,0.0
Topcon_TRAIN055,0.9984694840468489,0.0317425688573766,0.0,0.667136472864315
Topcon_TRAIN058,0.9976109594144749,0.0,0.0,0.4164164974966208
Topcon_TRAIN061,0.9945972549140251,0.6384216910354455,0.6903777778633805,0.5086927687068464
Topcon_TRAIN066,0.9996808883806267,0.7846508286471623,0.0,0.0
