Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.628794786229264 (0.3160148601100652),0.9758814894594252 (0.10549208474609598),0.9296875 (0.2566775528590926)
TRAIN010,0.8977150546852499 (0.24927984086617574),0.953125 (0.2122016200669899),0.859375 (0.3490002594588753)
TRAIN011,0.5471002981066704 (0.4457957937940248),0.5249066178221256 (0.4481248807926924),0.3624846546299523 (0.46383643253092627)
TRAIN013,0.5232912186183967 (0.44869024440493677),0.7749893472064286 (0.2960367396879303),0.6540910739677201 (0.3497252385726673)
TRAIN015,0.390625 (0.489807530896407),0.8900967501103878 (0.11704985909614463),0.7902404174674302 (0.24666949756314838)
TRAIN028,0.9387755102040817 (0.24222607082590245),0.9511030097397006 (0.0876362231355566),0.8499557223855233 (0.2938552116871131)
TRAIN029,0.7898440087328151 (0.3319887989189832),0.9475299557861017 (0.2001744907764646),0.9795918367346939 (0.14285714285714285)
TRAIN032,0.7067956808878451 (0.1175180865953248),0.8810761546602055 (0.20619627909235155),0.7346938775510204 (0.44607128559988557)
TRAIN041,0.9656524974472669 (0.15284161194309603),0.9795918367346939 (0.14285714285714285),1.0 (0.0)
TRAIN046,0.6236195991538009 (0.35109453926429973),0.6046046468676353 (0.48754706370854695),0.8720965975401352 (0.17906479200605432)
TRAIN049,0.9296875 (0.2566775528590926),0.8673349069431424 (0.30103320471799105),0.8282939959608484 (0.31271015993400714)
TRAIN050,0.8257683218544116 (0.30944160523419795),0.9765625 (0.1518828677363284),0.7708981428586412 (0.3598899182372849)
TRAIN051,0.8043924412922934 (0.28711705134952187),0.9710069741122425 (0.07783836698139412),0.9375 (0.2430125883781254)
TRAIN056,0.8187915894668549 (0.3256297683043298),1.0 (0.0),0.96875 (0.17536809360305045)
