Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.8993576017130621 (0.30117725834682274),0.906183368869936 (0.2918847837551176),0.6450980392156863 (0.4789533962629618)
Spectralis,0.69375 (0.46238206043414004),0.8918918918918919 (0.31135955237926183),0.8622754491017964 (0.3456470737245511)
Topcon,0.9064748201438849 (0.29151674804115313),0.8701594533029613 (0.33651140969437426),0.876750700280112 (0.3291845168018026)
