vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.35 (0.14),0.46 (0.10),0.44 (0.17)
Spectralis,0.48 (0.04),0.62 (0.10),0.46 (0.14)
Topcon,0.45 (0.20),0.65 (0.09),0.52 (0.18)
