Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6730712884767897 (0.17451073195415515),0.8036124249647932 (0.14730416023702678),0.7527723378860034 (0.1946136787834823)
Spectralis,0.6948827023015303 (0.19707434609047295),0.8942532171805699 (0.10885816543335201),0.7453732526837251 (0.19632047537649117)
Topcon,0.7186587882669349 (0.1626886653022868),0.7680456344395468 (0.0998687277339558),0.7447083461669184 (0.1698483500184063)
