Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.614093799354895 (0.13233487244023612),0.7693074429485979 (0.11502306570130341),0.6213924466464363 (0.194131387598126)
Spectralis,0.6934773945089044 (0.1479629038627976),0.7800363382467856 (0.18430529257018097),0.6801192411836589 (0.1354791578147897)
Topcon,0.5834244549587057 (0.17695498258485629),0.6329283480708664 (0.1695887889771934),0.44530248214475443 (0.16719738019609345)
