Volume,dice_IRF,dice_SRF,dice_PED
D2S1,nan (nan),0.24208242818713188 (0.1723237190901704),nan (nan)
D3S1,nan (nan),0.5585515350103378 (0.10649001361252457),0.05365986283868551 (0.036728303469452724)
D4S1,0.29675688222050667 (0.2173177145384632),nan (nan),nan (nan)
D4S2,0.5095100477337837 (0.3135329494041445),0.3856669118007024 (0.22365810504765465),nan (nan)
D5S2,nan (nan),0.3902375331291786 (0.14282301468580225),nan (nan)
D5S3,nan (nan),0.5780979607786451 (0.10890616097173635),nan (nan)
