Device,PSNR,SSIM,MSE
Cirrus,23.4346569664903 (0.5163916693625823),0.28859082892416227 (0.0323799724615617),0.004566799077891944 (0.0005481118433117429)
Spectralis,28.092654255319147 (1.4250476624105726),0.5927712765957447 (0.06668145828813751),0.00164081236707329 (0.000594467870724221)
T-1000,24.90501984126984 (0.6643800120424824),0.319218253968254 (0.032757286591347454),0.0032808116539233614 (0.0007492722204714041)
T-2000,25.845569841269842 (0.5529052915374865),0.3932174603174603 (0.0440493870818175),0.002623729089215871 (0.00033026966294810755)
