Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5902553981458637 (0.2084833002396777),0.8251365573466325 (0.10577511391468813),0.5966798340039114 (0.27008005254716455)
Spectralis,0.7021152148472851 (0.21405816397092223),0.8210039830360657 (0.18447513407008942),0.6866397858808204 (0.23076169904426103)
Topcon,0.5663448581276657 (0.19162691627310557),0.5705350814638911 (0.2634985656328166),0.5048573003074185 (0.17872522262975624)
