Volume,dice_IRF,dice_SRF,dice_PED
D2S1,nan (nan),0.2692895978689194 (0.053536880719699975),nan (nan)
D3S1,nan (nan),0.47940805554389954 (0.2239600107774216),0.02253086492419243 (0.03186345474778919)
D4S1,0.3853116538375616 (0.26189243757195),nan (nan),nan (nan)
D4S2,0.5649725757539272 (0.28291359505727676),0.23156833338240781 (0.16685639691581672),nan (nan)
D5S2,nan (nan),0.7368095012811514 (0.06787452453439204),nan (nan)
D5S3,nan (nan),0.5709223874977657 (0.16748219420799704),nan (nan)
