Volume,dice_SRF
TRAIN001,0.9915254237288136 (0.09205746178983233)
TRAIN010,0.96875 (0.1746763035549529)
TRAIN011,0.7126436781609196 (0.4551525677511882)
TRAIN013,0.8571428571428571 (0.3527378107513293)
TRAIN015,1.0 (0.0)
TRAIN028,1.0 (0.0)
TRAIN029,1.0 (0.0)
TRAIN032,0.8666666666666667 (0.3518657752744984)
TRAIN041,1.0 (0.0)
TRAIN046,0.6304347826086957 (0.4880207487471506)
TRAIN049,0.981651376146789 (0.1348285177101028)
TRAIN050,0.9921875 (0.08838834764831843)
TRAIN051,1.0 (0.0)
TRAIN056,0.96875 (0.17536809360305045)
