Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.7534290160238742 (0.141561428243071),0.7537266186931554 (0.17730043006686355),0.8232297547485518 (0.12401118910940957)
Spectralis,0.6451066793237306 (0.17662229922628614),0.8908338409955384 (0.1030648517903242),0.7356102668944701 (0.12571156223244506)
Topcon,0.6435471886257433 (0.19015998893720973),0.7596128478837318 (0.14966763050260878),0.8101891078688996 (0.13726641337307494)
