Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.21737200521602063 (0.2914887981204585),0.01602675025424105 (0.06016680302959532),0.0 (0.0)
TRAIN017,0.26800348622418824 (0.4159810578615472),0.4140625 (0.49449479110016603),0.08068586287618018 (0.129284198852688)
TRAIN019,0.14986807444802253 (0.27840512477612),0.046875 (0.21220162006698992),0.0 (0.0)
TRAIN021,0.301853442681022 (0.36236657081157697),0.10790937986348581 (0.28728650369466185),0.0 (0.0)
TRAIN023,0.109375 (0.3133354972840896),0.203125 (0.4039056372217743),0.03999804267550644 (0.10631184139874764)
TRAIN025,0.37258747250449903 (0.3481174465001107),0.22448979591836735 (0.4215697907053756),0.5119207422344052 (0.35637576733444576)
TRAIN031,0.061224489795918366 (0.24222607082590245),0.42857142857142855 (0.5),0.31961940274554856 (0.40317549562542165)
TRAIN035,0.0 (0.0),0.8040493459117656 (0.27789024287808073),0.36949205368149035 (0.2725645899270073)
TRAIN037,0.5845551247499428 (0.15573518115925622),0.3479347764229288 (0.4302222843986853),0.04081632653061224 (0.199914947901746)
TRAIN053,0.12763424359582132 (0.3122432524918055),0.40919318144369754 (0.4152156337288517),0.2354441395145841 (0.20242651614839305)
TRAIN057,0.1640625 (0.37178742021049027),0.3783004956203513 (0.33596127709504947),0.3158508878550492 (0.22183640836054105)
TRAIN060,0.33488193803486865 (0.4616989728246883),0.4921875 (0.5019033653891717),0.03125 (0.17467630355495287)
TRAIN065,0.35188167257001624 (0.4597869611038774),0.8984375 (0.30325903664538445),0.171875 (0.37875417411488527)
TRAIN070,0.45099363110875856 (0.477626340524721),0.796875 (0.40390563722177436),0.0 (0.0)
