Device,PSNR,SSIM,MSE
Cirrus,20.294420634920634 (0.5125779973000246),0.180168430335097 (0.022749156503688212),0.009409386821902592 (0.0011016238000305775)
Spectralis,24.750146276595746 (1.408245072378892),0.481718085106383 (0.07721782379772663),0.0035333691444743346 (0.0012048322841760536)
T-1000,21.922519841269843 (0.676812287207258),0.24125396825396825 (0.028947111136594796),0.006501661942503046 (0.0010216755895515928)
T-2000,22.50905477031802 (0.6845765247463886),0.2707897526501767 (0.043246934119486054),0.005688455151624372 (0.001042903058081057)
