Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6122407336253672 (0.43047146098739486),0.6476621052017435 (0.4710786479095525),0.8817345710936934 (0.27326743911782647)
Spectralis,0.45462801136380554 (0.41100403319331025),0.6362291352481259 (0.4527539998359127),0.5477012863990908 (0.4019574768056356)
Topcon,0.49928032140014694 (0.4360556360391358),0.5925741860253766 (0.44636211370883144),0.6676083001308143 (0.40015272452970296)
