Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.8260869565217391 (0.3811116087047684),0.4765625 (0.5014128660143498),0.9765625 (0.15188286773632842)
TRAIN005,0.515625 (0.50171948431856),0.6438356164383562 (0.4821785922507987),0.8115942028985508 (0.3939006413551736)
TRAIN006,0.12987012987012986 (0.33836485099003594),0.6484375 (0.47933424548809145),0.5390625 (0.5004304249705652)
TRAIN009,0.6923076923076923 (0.4640954808922571),0.8359375 (0.3717874202104901),0.5 (0.5022075162525259)
TRAIN020,0.22784810126582278 (0.4221242704558541),0.08333333333333333 (0.2886751345948129),0.014084507042253521 (0.11867816581938533)
TRAIN030,0.7333333333333333 (0.44977644510880366),0.8275862068965517 (0.38442587221924474),1.0 (0.0)
TRAIN036,0.5384615384615384 (0.508391127441794),0.7755102040816326 (0.42156979070537554),0.9387755102040817 (0.24222607082590245)
TRAIN038,0.4897959183673469 (0.5050762722761054),1.0 (0.0),0.8125 (0.40311288741492746)
TRAIN045,0.6 (0.49827287912243967),0.673469387755102 (0.47380354147934284),0.6944444444444444 (0.46717659215115664)
TRAIN047,0.72 (0.458257569495584),0.9183673469387755 (0.27664166758624403),0.8979591836734694 (0.3058388709205983)
TRAIN055,0.6129032258064516 (0.4890621092010465),0.7109375 (0.45510825483839257),0.7878787878787878 (0.41194292043554975)
TRAIN058,0.765625 (0.4252720296617196),0.8046875 (0.3979988080146752),0.925531914893617 (0.26393880449618307)
TRAIN061,0.92 (0.27312011019804927),0.8181818181818182 (0.38924947208076144),0.8840579710144928 (0.32250088390476095)
TRAIN066,0.9666666666666667 (0.18051113445691194),0.9765625 (0.1518828677363284),0.9609375 (0.19450497433065844)
