Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5533921676822481 (0.22632506601542737),0.7280421142428242 (0.13013276339136035),0.5836307507581435 (0.2940197140948821)
Spectralis,0.5861484032562551 (0.24908206114833337),0.85561978717645 (0.20142551489761445),0.6179889188363001 (0.2830382181016002)
Topcon,0.669508039716043 (0.19214066936770696),0.6951432077035512 (0.14633459595192597),0.6032462337625123 (0.21232495043955663)
