Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.8596863766433671 (0.2679619212828586),0.8671875 (0.3407054688956916),0.9375 (0.24301258837812545)
TRAIN005,0.6953125 (0.4620835004815936),0.6689278754638508 (0.376899897573875),0.7979506379342638 (0.33951581063100794)
TRAIN006,0.6318944467930123 (0.41596700657109675),0.9296875 (0.2566775528590926),0.9140625 (0.2813730045980521)
TRAIN009,0.6688954331038985 (0.4118048242932842),0.953125 (0.21220162006698987),0.5683440387292649 (0.480088665276443)
TRAIN020,0.25212336359982146 (0.3353337968033513),0.6930840422865003 (0.2506054804264525),0.19097920730200713 (0.2804215503099273)
TRAIN030,0.6475762534050309 (0.41853888384236254),0.8570950268482675 (0.30745907468456896),0.7541231871867666 (0.32510255573859653)
TRAIN036,0.757830274956567 (0.31819802838854133),0.9591836734693877 (0.199914947901746),0.8979591836734694 (0.30583887092059825)
TRAIN038,0.46938775510204084 (0.5042337758225566),0.8645093247902637 (0.1966887454054701),0.7133588699661956 (0.2999798874376561)
TRAIN045,0.7275510764851862 (0.37503576953219836),0.673469387755102 (0.47380354147934284),0.44716396441265027 (0.45421593570574237)
TRAIN047,0.7821825446979124 (0.2755394141253332),0.8775510204081632 (0.33120066055341796),0.9795918367346939 (0.14285714285714285)
TRAIN055,0.43324681484955363 (0.494009484652554),0.7734375 (0.4202519632297095),0.5529790845466778 (0.4146669067264087)
TRAIN058,0.8515625 (0.35693012505703176),0.875 (0.33201840381587433),0.6889457922661677 (0.39815374693296957)
TRAIN061,0.7594634108536411 (0.3124580717620348),0.7631704276427627 (0.2763864885460278),0.7537895103450865 (0.2927932988518797)
TRAIN066,0.9014524011872709 (0.21451345216591144),1.0 (0.0),0.96875 (0.1746763035549529)
