Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.6466490942984819 (0.2300866677472811),nan (nan),nan (nan)
TRAIN005,nan (nan),0.6864154653115706 (0.1822108755753757),0.7722402016427052 (0.21085763813983985)
TRAIN006,0.5932250307032875 (0.2770745286237145),nan (nan),nan (nan)
TRAIN009,0.43208685658268026 (0.2507379175853424),nan (nan),0.5476060073290553 (0.16905586046658927)
TRAIN020,0.4732924855637307 (0.22625694829843562),0.7044290879677082 (0.13791504660339846),0.3818081431152103 (0.27602526816768036)
TRAIN030,0.47630881125989716 (0.3310508504350175),0.8910968661308288 (0.05364440294795862),0.5332002360373735 (0.30226152189241795)
TRAIN036,0.5888154185984446 (0.2352307928490754),nan (nan),nan (nan)
TRAIN038,nan (nan),0.7655981102958321 (0.23442250867583894),0.559381596066735 (0.1900129451381744)
TRAIN045,0.5982046285154003 (0.2592200912426445),nan (nan),0.34312790976120877 (0.2568653593747568)
TRAIN047,0.6052030871311823 (0.19812381176296898),nan (nan),nan (nan)
TRAIN055,0.5726356580853462 (0.2892176031494794),nan (nan),0.5538960659215527 (0.23608464569984702)
TRAIN058,nan (nan),nan (nan),0.515745656016995 (0.19440625004367007)
TRAIN061,0.6875143383612048 (0.15045206634169092),0.5317843170096613 (0.2421830177766392),0.5216066847413273 (0.18533951555274716)
TRAIN066,0.7692777647783882 (0.17897915633996683),nan (nan),nan (nan)
