Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5685186164825078 (0.24232008787146445),0.7075870497184887 (0.16193282348796256),0.5916680553211615 (0.2910598122969752)
Spectralis,0.5978451948612928 (0.2493388393175284),0.8664357547958692 (0.14721285361092604),0.6063674353301908 (0.29390794795737923)
Topcon,0.6783286464841742 (0.22426945762646566),0.5132825984970398 (0.3039154972639006),0.5867935717526462 (0.24213034247675105)
