volume,Dice_Background,Dice_IRF,Dice_SRF,Dice_PED
Cirrus_TRAIN001,0.9949462454679736,0.6764486915292102,0.30081079382372045,0.0
Cirrus_TRAIN010,0.9996193357273757,0.7595113155994162,0.0,0.0
Cirrus_TRAIN011,0.9960700504342678,0.6122453646359357,0.5274127142890372,0.02792138778304181
Cirrus_TRAIN013,0.9927777167084676,0.15569159695043863,0.3098078345691331,0.3823079104054437
Cirrus_TRAIN015,0.9813731742274898,0.0,0.5786237204119674,0.2460247993341066
Spectralis_TRAIN028,0.9989441434426664,0.0,0.7675504192159529,0.5213127615062761
Spectralis_TRAIN029,0.9987858091902894,0.712256477911698,0.766208569118836,0.0
Spectralis_TRAIN032,0.9809779352091925,0.6552236046402248,0.7527353262979565,0.0
Spectralis_TRAIN041,0.9997299429375336,0.15272556390977443,0.0,0.0
Spectralis_TRAIN046,0.9921077720860009,0.4503201506591337,0.039608595908048126,0.5634672869827553
Topcon_TRAIN049,0.9994115124751216,0.0,0.6632148199286618,0.4870837575894709
Topcon_TRAIN050,0.998616164508511,0.4884165521453657,0.0,0.45325647929989904
Topcon_TRAIN051,0.997248367217871,0.6393756055257827,0.46128003003003004,0.0
Topcon_TRAIN056,0.9993559679347703,0.8091861549826641,0.0,0.0
