Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.0 (0.0),0.0 (0.0),0.0 (0.0)
TRAIN010,0.0 (0.0),0.0 (0.0),0.0 (0.0)
TRAIN011,0.4574468085106383 (0.5008571924688409),0.034482758620689655 (0.18352338815966712),0.0 (0.0)
TRAIN013,0.5108695652173914 (0.502620937661408),0.6349206349206349 (0.4853195588936754),0.0 (0.0)
TRAIN015,0.0 (0.0),0.0 (0.0),0.0 (0.0)
TRAIN028,0.02040816326530612 (0.14285714285714282),0.5714285714285714 (0.5020964452534339),0.07894736842105263 (0.2732763127330939)
TRAIN029,0.09375 (0.29614458108029906),0.27906976744186046 (0.4538502687508102),0.061224489795918366 (0.24222607082590242)
TRAIN032,nan (nan),0.06666666666666667 (0.2581988897471611),0.02040816326530612 (0.14285714285714282)
TRAIN041,0.0 (0.0),0.6122448979591837 (0.4922874554317937),0.0 (0.0)
TRAIN046,0.0 (0.0),0.06521739130434782 (0.24963741822833801),0.0 (0.0)
TRAIN049,0.171875 (0.37875417411488527),0.027522935779816515 (0.1643570861992083),0.0 (0.0)
TRAIN050,0.03296703296703297 (0.17953950048508058),0.015625 (0.12450690143095285),0.0 (0.0)
TRAIN051,0.0 (0.0),0.03773584905660377 (0.19146195951337383),0.0 (0.0)
TRAIN056,0.2702702702702703 (0.4502251688907481),0.0 (0.0),0.0 (0.0)
