Volume,dice_IRF
TRAIN003,0.6445769182791992 (0.419112645081212)
TRAIN005,0.59375 (0.4930621017888848)
TRAIN007,0.6541287682484835 (0.3187341964099216)
TRAIN015,0.0546875 (0.22826265262341358)
TRAIN022,0.5859714404214174 (0.29864099385636733)
TRAIN026,0.910056683481956 (0.21056895870993783)
TRAIN036,0.6199085897937113 (0.38984402074328084)
TRAIN043,0.7604042723470804 (0.33633319688306884)
TRAIN044,0.6750687607088868 (0.3240743085171765)
TRAIN054,0.8093127022730187 (0.2948436241650131)
TRAIN056,0.8498516483232379 (0.2754412832647528)
TRAIN057,0.6328125 (0.4839322811674229)
TRAIN066,0.8867825532797724 (0.24011740607410587)
TRAIN069,0.734375 (0.443400869088753)
