Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.9565217391304348 (0.20504855915155565),0.5 (0.5019646441105268),0.78125 (0.41502300476984283)
TRAIN005,0.890625 (0.3133354972840897),0.6164383561643836 (0.4896182465934661),0.5362318840579711 (0.5023389453618746)
TRAIN006,0.7012987012987013 (0.46068984500178073),0.5390625 (0.5004304249705652),0.625 (0.48602517675625073)
TRAIN009,0.978021978021978 (0.14742395237484895),0.7578125 (0.43009051876402554),0.7280701754385965 (0.4469184107063476)
TRAIN020,0.26582278481012656 (0.44459318078134485),0.0 (0.0),0.0 (0.0)
TRAIN030,0.8 (0.4068381021724862),0.7586206896551724 (0.43549417035569277),0.8823529411764706 (0.33210558207753577)
TRAIN036,0.6923076923076923 (0.4706787243316417),0.6530612244897959 (0.4809288065886703),0.9183673469387755 (0.27664166758624403)
TRAIN038,0.5102040816326531 (0.5050762722761054),1.0 (0.0),0.8125 (0.40311288741492746)
TRAIN045,0.8666666666666667 (0.3457459036417604),0.5918367346938775 (0.4965869908241478),0.5 (0.50709255283711)
TRAIN047,0.84 (0.3741657386773941),0.6122448979591837 (0.4922874554317937),0.7755102040816326 (0.4215697907053756)
TRAIN055,0.7903225806451613 (0.40872981014033116),0.84375 (0.3645188825671882),0.4090909090909091 (0.4954336943068622)
TRAIN058,0.9453125 (0.22826265262341355),0.8125 (0.3918460247171255),0.9361702127659575 (0.24576020475855115)
TRAIN061,0.9066666666666666 (0.29285792761297375),0.8181818181818182 (0.38924947208076144),0.8115942028985508 (0.3939006413551736)
TRAIN066,0.9333333333333333 (0.2508412811213631),0.9921875 (0.08838834764831843),0.9765625 (0.1518828677363284)
